CITY,STATE,ZIP,AREA_CODE,TIME_ZONE
White Springs,FL,32096,904,E
Worthington Springs,FL,32697,904,E
Yulee,FL,32041,904,E
Yulee,FL,32097,904,E
Alachua,FL,32615,904,E
Alachua,FL,32616,904,E
Allandale,FL,32123,904,E
Atlantic Beach,FL,32233,904,E
Baldwin,FL,32234,904,E
Barberville,FL,32105,904,E
Bostwick,FL,32007,904,E
Branford,FL,32008,904,E
Bryceville,FL,32009,904,E
Bunnell,FL,32110,904,E
Callahan,FL,32011,904,E
Cassadaga,FL,32706,904,E
New Smyrna Beach,FL,32168,904,E
New Smyrna Beach,FL,32169,904,E
New Smyrna Beach,FL,32170,904,E
Oak Hill,FL,32759,904,E
O'Brien,FL,32071,904,E
Olustee,FL,32072,904,E
Orange City,FL,32763,904,E
Orange City,FL,32774,904,E
Orange Park,FL,32065,904,E
Orange Park,FL,32067,904,E
Orange Park,FL,32073,904,E
Ormond Beach,FL,32173,904,E
Ormond Beach,FL,32174,904,E
Ormond Beach,FL,32175,904,E
Ormond Beach,FL,32176,904,E
Overstreet,FL,32453,904,E
Palatka,FL,32177,904,E
Palatka,FL,32178,904,E
Palm Coast,FL,32135,904,E
Palm Coast,FL,32137,904,E
Palm Coast,FL,32142,904,E
Palm Coast,FL,32164,904,E
Penney Farms,FL,32079,904,E
Pierson,FL,32180,904,E
Pomona Park,FL,32181,904,E
Ponte Vedra Beach,FL,32004,904,E
Ponte Vedra Beach,FL,32082,904,E
Port Orange,FL,32119,904,E
Port Orange,FL,32127,904,E
Port Orange,FL,32129,904,E
Raiford,FL,32083,904,E
Saint Augustine,FL,32084,904,E
Saint Augustine,FL,32085,904,E
Saint Augustine,FL,32086,904,E
Saint Augustine,FL,32092,904,E
Saint Augustine,FL,32095,904,E
San Mateo,FL,32187,904,E
Sanderson,FL,32087,904,E
Satsuma,FL,32189,904,E
Seville,FL,32190,904,E
South Daytona,FL,32121,904,E
Starke,FL,32091,904,E
Steinhatchee,FL,32359,904,E
Welaka,FL,32193,904,E
Wellborn,FL,32094,904,E
Hollister,FL,32147,904,E
Holly Hill,FL,32117,904,E
Interlachen,FL,32148,904,E
Interlachen,FL,32149,904,E
Jacksonville,FL,32099,904,E
Jacksonville,FL,32201,904,E
Jacksonville,FL,32202,904,E
Jacksonville,FL,32203,904,E
Jacksonville,FL,32204,904,E
Jacksonville,FL,32205,904,E
Jacksonville,FL,32206,904,E
Jacksonville,FL,32207,904,E
Jacksonville,FL,32208,904,E
Jacksonville,FL,32209,904,E
Jacksonville,FL,32210,904,E
Jacksonville,FL,32211,904,E
Jacksonville,FL,32212,904,E
Jacksonville,FL,32214,904,E
Jacksonville,FL,32215,904,E
Jacksonville,FL,32216,904,E
Jacksonville,FL,32217,904,E
Jacksonville,FL,32218,904,E
Jacksonville,FL,32219,904,E
Jacksonville,FL,32220,904,E
Jacksonville,FL,32221,904,E
Jacksonville,FL,32222,904,E
Jacksonville,FL,32223,904,E
Jacksonville,FL,32224,904,E
Jacksonville,FL,32225,904,E
Jacksonville,FL,32226,904,E
Jacksonville,FL,32227,904,E
Jacksonville,FL,32228,904,E
Jacksonville,FL,32229,904,E
Jacksonville,FL,32230,904,E
Jacksonville,FL,32231,904,E
Jacksonville,FL,32232,904,E
Jacksonville,FL,32235,904,E
Jacksonville,FL,32236,904,E
Jacksonville,FL,32237,904,E
Jacksonville,FL,32238,904,E
Jacksonville,FL,32239,904,E
Jacksonville,FL,32241,904,E
Jacksonville,FL,32244,904,E
Jacksonville,FL,32245,904,E
Jacksonville,FL,32246,904,E
Jacksonville,FL,32247,904,E
Jacksonville,FL,32254,904,E
Jacksonville,FL,32255,904,E
Jacksonville,FL,32256,904,E
Jacksonville,FL,32257,904,E
Jacksonville,FL,32258,904,E
Jacksonville,FL,32259,904,E
Jacksonville,FL,32260,904,E
Jacksonville,FL,32267,904,E
Jacksonville,FL,32276,904,E
Jacksonville,FL,32277,904,E
Jacksonville,FL,32294,904,E
Jacksonville,FL,32296,904,E
Jacksonville,FL,32297,904,E
Jacksonville Beach,FL,32240,904,E
Jacksonville Beach,FL,32250,904,E
Jasper,FL,32052,904,E
Jennings,FL,32053,904,E
La Crosse,FL,32658,904,E
Lake Butler,FL,32054,904,E
Lake City,FL,32024,904,E
Lake City,FL,32025,904,E
Lake City,FL,32055,904,E
Lake City,FL,32056,904,E
Lake Como,FL,32157,904,E
Lake Helen,FL,32744,904,E
Lawtey,FL,32058,904,E
Live Oak,FL,32060,904,E
Live Oak,FL,32064,904,E
Lulu,FL,32061,904,E
Macclenny,FL,32063,904,E
Mayo,FL,32066,904,E
McAlpin,FL,32062,904,E
Middleburg,FL,32050,904,E
Middleburg,FL,32068,904,E
Neptune Beach,FL,32266,904,E
Crescent City,FL,32112,904,E
Day,FL,32013,904,E
Daytona Beach,FL,32114,904,E
Daytona Beach,FL,32115,904,E
Daytona Beach,FL,32120,904,E
Daytona Beach,FL,32122,904,E
Daytona Beach,FL,32124,904,E
