FullDateAlternateKey	OrganizationName	DepartmentGroupName	ScenarioName	AccountCodeAlternateKey	ParentAccountCodeAlternateKey	Amount
2001-07-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2001-08-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2001-09-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-02-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-03-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-04-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-05-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-06-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-07-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-08-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-09-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2002-10-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2003-04-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	45000
2003-05-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2003-08-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2003-09-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2004-01-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2004-02-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2004-05-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2004-06-01 00:00:00	Northeast Division	Research and Development	Actual	9540	9500	52000
2001-07-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2001-09-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2001-11-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2001-12-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-02-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-03-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-04-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-05-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-06-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-07-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2002-10-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
2003-01-01 00:00:00	Northwest Division	Research and Development	Actual	9540	9500	63000
