StationID	Location	LatLong	SeaLevel	WindSpeed	AirTemp	SeaTemp	WaveHt	DewPoint
41001*	6N03 /D E. HATTERAS, NC	34.73N/ 72.68W	99	99	99	99	99	98
41002*	6N26 /V S. HATTERAS, NC	32.32N/ 75.36W	R	R	R	R	R	R
41004*	3D13 /A EDISTO, SC	32.50N/ 79.10W	100	100	100	100	100	S
41008*	3D14 /A GRAYS REEF	31.40N/ 80.87W	98	98	98	98	98	98
41009	6N46 /A CANAVERAL, FL	28.50N/ 80.17W	99	99	99	99	99	S
41010	6N47 /A CANAVERAL EAST, FL	28.95N/ 78.48W	99	99	99	99	99	99
41012	3D56 /A ST. AUGUSTINE, FL	30.04N/ 80.53W	70	70	70	70	70	70
41013*	3D55 /A FRYING PAN SHOALS	33.44N/ 77.74W	96	96	96	96	96	96
41025*	3D37 /A DIAMOND SHOALS	35.01N/ 75.40W	99	99	99	99	99	99
41035*	3D49 /A ONSLOW BAY	34.48N/ 77.28W	100	100	100	100	50	100
41036*	3D80 /A UNWC	34.21N/ 76.95W	99	99	99	99	99	99
41040*	6N50 /A WEST ATLANTIC	14.48N/ 53.04W	96	96	96	96	95	96
41041*	6N51 /A MIDDLE ATLANTIC	14.51N/ 46.00W	99	99	99	99	99	99
41043*	6N53 /A ATLANTIC (SOUTH)	20.99N/ 65.01W	98	98	98	98	98	98
42001*	12D11/A MID GULF	25.90N/ 89.67W	99	99	99	99	99	99
42002*	10D08/M WESTERN GULF	25.17N/ 94.42W	98	98	98	98	98	98
42003*	10D11/A EAST GULF	26.03N/ 85.89W	93	93	93	93	93	93
42007*	3D36 /D BILOXI, MS	30.09N/ 88.77W	99	S	64	64	99	S
42019*	3D35 /D LANEILLE, TX	27.90N/ 95.39W	99	99	99	99	99	99
42020*	3D44 /D EILEEN, TX	26.97N/ 96.70W	99	99	99	99	96	99
42035*	3D54 /A GALVESTON, TX	29.25N/ 94.41W	98	98	98	98	98	98
42036*	3D09 /A WEST TAMPA, FL	28.50N/ 84.52W	S	S	S	S	S	S
42039*	3D02 /A PENSACOLA S., FL	28.79N/ 86.02W	99	99	98	99	96	98
42040	3D26 /D MOBILE SOUTH, AL	29.18N/ 88.21W	95	98	96	95	93	95
42055*	12D12/A BAY OF CAMPECHE	22.02N/ 94.05W	98	98	98	98	98	98
42056*	12D13/A YUCATAN CHANNEL	19.87N/ 85.06W	98	98	98	98	98	98
42057*	10D09/A WESTERN CARIBBEAN	16.83N/ 81.50W	33	33	33	33	S	S
42058*	10D07/A CENTRAL CARIBBEAN	15.09N/ 75.06W	S	S	S	S	S	S
42059*	6N43 /A EASTERN CARIBBEAN	15.01N/ 67.50W	98	98	98	98	98	98
44004*	6N24 /A HOTEL	38.48N/ 70.43W	99	99	99	99	99	99
44005*	6N16 /D GULF OF MAINE	43.17N/ 69.15W	99	99	99	99	99	99
44007*	24DV0/A PORTLAND, OR	43.53N/ 70.14W	97	98	98	97	97	98
44008*	3D06 /A NANTUCKET, MA	40.50N/ 69.43W	100	100	100	100	100	100
44009*	3D77 /A DELAWARE BAY, DE	38.46N/ 74.70W	99	99	99	99	99	99
44011*	6N55 /A GEORGES BANK	41.11N/ 66.58W	99	99	99	99	99	99
44013*	3DV04/D BOSTON, MA	42.35N/ 70.69W	98	98	98	98	98	S
44014	3D42 /A VIRGINIA BEACH, VA	36.61N/ 74.84W	100	100	100	100	100	S
44017*	3D47 /A MONTAUK POINT, NY	40.69N/ 72.05W	99	99	99	99	99	99
44018*	3D29 /A SE CAPE COD, MA	41.26N/ 69.29W	96	96	96	96	94	96
44025*	3D18 /D LONG ISLAND, NY	40.25N/ 73.17W	99	4	99	99	99	99
44027*	3D59 /A JONESPORT, ME	44.27N/ 67.31W	95	23	95	95	95	95
45001*	3D05 /D MID SUPERIOR	48.06N/ 87.78W	99	99	99	99	99	N
45002*	3D23 /D NORTH MICHIGAN	45.33N/ 86.43W	98	98	98	98	96	N
45003*	3DV03/V NORTH HURON	45.35N/ 82.84W	98	98	98	98	93	N
45004*	3D38 /V EAST SUPERIOR	47.57N/ 86.55W	99	99	99	99	99	N
45005*	3D63 /D WEST ERIE	41.68N/ 82.40W	96	96	96	96	95	N
45006*	3DV05/V WEST SUPERIOR	47.35N/ 89.83W	98	98	98	S	96	N
45007*	3D28 /D SOUTH MICHIGAN	42.68N/ 87.03W	98	98	98	98	94	98
45008*	3D41 /A SOUTH HURON	44.29N/ 82.42W	100	100	99	100	99	N
45012*	3DV02/V LAKE ONTARIO	43.62N/ 77.41W	99	99	98	99	88	N
46001*	6N25 /A GULF OF ALASKA, AK	56.30N/148.17W	R	R	R	R	R	N
46002*	6N35 /A WEST OREGON, OR	42.60N/130.27W	100	100	100	100	100	N
46005*	6N19 /A W.ASTORIA, OR	46.01N/130.97W	99	99	99	99	99	N
46006*	6N33 /V SW. ASTORIA, OR	40.80N/137.48W	R	R	R	R	R	N
46011*	3D24 /A SANTA MARIA, CA	34.88N/120.87W	100	100	100	100	100	N
46012*	3D48 /D HALF MOON BAY, CA	37.36N/122.88W	96	97	S	96	96	N
46013*	3D70 /A BODEGA BAY, CA	38.23N/123.32W	97	99	98	97	93	N
46014*	3D76 /A PT ARENA, CA	39.20N/123.97W	99	99	99	99	99	N
46015*	3D62 /A PORT ORFORD, OR	42.76N/124.83W	97	97	97	97	89	N
46022*	3D15 /A EEL RIVER, CA	40.78N/124.54W	99	99	99	99	99	N
46023	10D04/D PT ARGUELLO, CA	34.70N/120.96W	99	99	99	99	98	99
46025*	3D75 /A SANTA MONICA, CA	33.75N/119.08W	99	99	99	99	99	N
46026*	3D27 /A SAN FRANCISCO, CA	37.76N/122.83W	98	98	98	98	98	N
46027*	3D78 /A ST GEORGES, CA	41.85N/124.38W	100	100	100	100	100	N
46028*	3D73 /A SAN MARTIN, CA	35.74N/121.89W	98	98	98	98	98	N
46029*	3D67 /D COL. RIVER BAR, WA	46.14N/124.51W	96	77	96	96	96	N
46035*	12D02/M BERING SEA	57.05N/177.58W	R	R	R	R	R	R
46041*	3D64 /A CAPE ELIZABETH, WA	47.34N/124.71W	S	S	S	S	S	N
46042*	3D33 /A MONTEREY BAY, CA	36.75N/122.42W	96	97	97	96	86	N
46047*	3D12 /A TANNER BANK, CA	32.43N/119.53W	99	99	99	99	99	N
46050*	3D43 /A STONEWALL BANK, OR	44.63N/124.50W	99	99	99	99	99	N
46053*	3D10 /A E. SANTA BARB, CA	34.24N/119.86W	99	99	99	99	99	N
46054	10D12/D W. SANTA BARB, CA	34.27N/120.44W	75	83	81	75	59	N
46059*	6N39 /D CALIFORNIA	38.03N/130.00W	95	98	96	95	95	N
46060*	3D66 /A WEST ORCA BAY, AK	60.59N/146.83W	71	85	84	80	77	N
46061*	6N18 /A SEAL ROCKS, AK	60.23N/146.83W	99	99	99	99	87	N
46063*	3D60 /A PT.CONCEPTION, CA	34.27N/120.70W	S	S	S	S	S	N
46066*	6N34 /A KODIAK, AK	52.70N/154.98W	99	99	99	99	99	N
46069*	3D39 /A SO. SANTA ROSA, CA	33.65N/120.20W	98	98	98	98	98	N
46070*	6N49 /A S.W. BERING SE	55.00N/175.28E	99	S	99	99	99	99
46071*	6N44 /A AMCHITKA	51.16N/179.05E	52	S	S	51	36	S
46073*	12D01/M SOUTHEAST BERING	54.94N/172.03W	96	96	96	96	95	S
46075*	6N37 /D SHUMAGIN ISLAND	53.93N/160.81W	45	46	S	45	42	S
46076*	6N54 /A CAPE CLEARE, AK	59.50N/148.00W	S	S	S	S	S	S
46077*	6N52 /A SHELIKOF STRAIGHT, AK	57.92N/154.25W	99	99	99	99	99	99
46078*	6N48 /D ALBATROSS BANK, AK	56.05N/152.45W	32	7	12	32	32	S
46080*	6N29 /D KENNEDY ENTRANCE	58.01N/150.09W	S	S	S	S	S	S
46081*	3D08 /A WESTERN PRINCE	60.80N/148.28W	R	R	R	R	R	R
46082*	6N42 /D CAPE SUCKLING, AK	59.69N/143.42W	82	S	85	82	67	85
46083*	6N36 /D FAIRWEATHER, AK	58.25N/137.99W	98	97	97	98	98	95
46084*	6N41 /D SITKA SOUND, AK	56.59N/136.16W	S	S	S	S	S	S
46085*	6N21 /D CENTRAL GULF	55.85N/142.56W	98	98	98	98	93	98
46086*	3D20 /A SAN CLEMENTE, CA	32.50N/118.00W	S	S	S	S	S	N
46087	3D74 /A NEAH BAY, WA	48.49N/124.73W	99	99	99	99	99	99
46088	3D71 /A NEW DUNGENESS, WA	48.33N/123.17W	99	99	99	S	99	99
46089	3D53 /A TILLAMOOK, OR	45.88N/125.77W	S	S	S	S	S	S
51001*	3D79 /A NW. HAWAII	23.43N/162.21W	98	98	98	98	98	N
51002*	6N17 /A SW. HAWAII	17.19N/157.78W	99	99	99	99	99	N
51003*	6N27 /A W. HAWAII	19.22N/160.82W	R	R	R	R	R	N
51004*	6N38 /A SE. HAWAII	17.52N/152.48W	99	99	99	99	82	N
51028	3D19 /A CHRISTMAS ISL.	0.02S/153.87W	96	96	96	96	S	N
